"Country","alpha.3","country.code","region","sub.region","Year","Total"
"Afghanistan","AFG","004","Asia","Southern Asia",2018,37172000
"Afghanistan","AFG","004","Asia","Southern Asia",2019,38042000
"Africa",NA,NA,NA,NA,2018,1275921024
"Africa",NA,NA,NA,NA,2019,1308064000
"Albania","ALB","008","Europe","Southern Europe",2018,2883000
"Albania","ALB","008","Europe","Southern Europe",2019,2881000
"Algeria","DZA","012","Africa","Northern Africa",2018,42228000
"Algeria","DZA","012","Africa","Northern Africa",2019,43053000
"American Samoa","ASM","016","Oceania","Polynesia",2018,55000
"American Samoa","ASM","016","Oceania","Polynesia",2019,55000
"Andorra","AND","020","Europe","Southern Europe",2018,77000
"Andorra","AND","020","Europe","Southern Europe",2019,77000
"Angola","AGO","024","Africa","Sub-Saharan Africa",2018,30810000
"Angola","AGO","024","Africa","Sub-Saharan Africa",2019,31825000
"Anguilla","AIA","660","Americas","Latin America and the Caribbean",2018,15000
"Anguilla","AIA","660","Americas","Latin America and the Caribbean",2019,15000
"Antigua and Barbuda","ATG","028","Americas","Latin America and the Caribbean",2018,96000
"Antigua and Barbuda","ATG","028","Americas","Latin America and the Caribbean",2019,97000
"Argentina","ARG","032","Americas","Latin America and the Caribbean",2018,44361000
"Argentina","ARG","032","Americas","Latin America and the Caribbean",2019,44781000
"Armenia","ARM","051","Asia","Western Asia",2018,2952000
"Armenia","ARM","051","Asia","Western Asia",2019,2958000
"Aruba","ABW","533","Americas","Latin America and the Caribbean",2018,106000
"Aruba","ABW","533","Americas","Latin America and the Caribbean",2019,106000
"Asia",NA,NA,NA,NA,2018,4560667136
"Asia",NA,NA,NA,NA,2019,4601371136
"Australia","AUS","036","Oceania","Australia and New Zealand",2018,24898000
"Australia","AUS","036","Oceania","Australia and New Zealand",2019,25203000
"Austria","AUT","040","Europe","Western Europe",2018,8891000
"Austria","AUT","040","Europe","Western Europe",2019,8955000
"Azerbaijan","AZE","031","Asia","Western Asia",2018,9950000
"Azerbaijan","AZE","031","Asia","Western Asia",2019,10048000
"Bahamas","BHS","044","Americas","Latin America and the Caribbean",2018,386000
"Bahamas","BHS","044","Americas","Latin America and the Caribbean",2019,389000
"Bahrain","BHR","048","Asia","Western Asia",2018,1569000
"Bahrain","BHR","048","Asia","Western Asia",2019,1641000
"Bangladesh","BGD","050","Asia","Southern Asia",2018,161376992
"Bangladesh","BGD","050","Asia","Southern Asia",2019,163046000
"Barbados","BRB","052","Americas","Latin America and the Caribbean",2018,287000
"Barbados","BRB","052","Americas","Latin America and the Caribbean",2019,287000
"Belarus","BLR","112","Europe","Eastern Europe",2018,9453000
